ProyectoID,NombreProyecto,ClienteID,TipoProyectoID,FechaInicio,FechaFin,EstadoProyecto,PresupuestoAsignado,GastoRealizado
PRY0001,Proyecto PRJ-05 - C005,C005,TP05,2024-03-26,2024-09-06,En Progreso,336214,390747.27121616236
PRY0002,Proyecto PRJ-04 - C002,C002,TP04,2025-12-27,2026-04-17,En Progreso,337654,324558.86217436724
PRY0003,Proyecto PRJ-03 - C007,C007,TP03,2024-09-29,2024-11-11,En Progreso,85435,63091.74839059574
PRY0004,Proyecto PRJ-01 - C005,C005,TP01,2024-06-19,2024-11-03,Completado,356691,306531.77451167145
PRY0005,Proyecto PRJ-05 - C002,C002,TP05,2024-06-09,2024-07-24,Completado,129273,117477.23200026885
PRY0006,Proyecto PRJ-03 - C003,C003,TP03,2024-06-18,2024-08-20,En Progreso,341574,304677.8408677202
PRY0007,Proyecto PRJ-04 - C003,C003,TP04,2024-02-08,2024-04-23,Completado,357228,321850.0882034012
PRY0008,Proyecto PRJ-04 - C005,C005,TP04,2025-11-27,2026-01-11,En Progreso,370750,276523.76424628135
PRY0009,Proyecto PRJ-05 - C015,C015,TP05,2024-12-24,2025-04-16,En Progreso,454032,342901.7912666367
PRY0010,Proyecto PRJ-02 - C014,C014,TP02,2025-01-10,2025-04-17,Completado,424717,356181.6166216983
PRY0011,Proyecto PRJ-01 - C005,C005,TP01,2025-08-07,2026-01-26,Completado,172744,139771.8248026813
PRY0012,Proyecto PRJ-03 - C010,C010,TP03,2024-03-01,2024-08-01,Completado,210829,165188.09991032307
PRY0013,Proyecto PRJ-04 - C004,C004,TP04,2025-07-24,2025-11-02,Completado,295596,296739.4828095056
PRY0014,Proyecto PRJ-03 - C013,C013,TP03,2024-12-31,2025-04-13,En Progreso,111665,80216.33589637141
PRY0015,Proyecto PRJ-05 - C010,C010,TP05,2024-09-15,2025-02-11,Completado,494164,399364.5722599177
PRY0016,Proyecto PRJ-02 - C009,C009,TP02,2024-04-08,2024-05-27,En Progreso,80448,72252.03896834054
PRY0017,Proyecto PRJ-03 - C002,C002,TP03,2024-03-02,2024-08-23,En Progreso,209903,212310.31274511508
PRY0018,Proyecto PRJ-04 - C013,C013,TP04,2024-03-29,2024-07-09,Completado,84701,78663.17805676538
PRY0019,Proyecto PRJ-04 - C008,C008,TP04,2024-11-18,2025-04-19,Planificación,377304,424880.81445297966
PRY0020,Proyecto PRJ-01 - C010,C010,TP01,2025-06-04,2025-08-12,Completado,376916,316871.57764851954
PRY0021,Proyecto PRJ-03 - C012,C012,TP03,2024-02-07,2024-05-18,Planificación,185044,178808.2502999973
PRY0022,Proyecto PRJ-05 - C005,C005,TP05,2024-11-11,2025-01-07,Completado,136988,129806.16622129515
PRY0023,Proyecto PRJ-02 - C014,C014,TP02,2024-12-14,2025-05-07,En Progreso,178322,185277.99817831867
PRY0024,Proyecto PRJ-03 - C011,C011,TP03,2024-10-15,2024-11-19,En Progreso,69623,54213.36437523448
PRY0025,Proyecto PRJ-01 - C009,C009,TP01,2024-12-28,2025-03-12,Completado,207364,209293.66491610676
PRY0026,Proyecto PRJ-05 - C006,C006,TP05,2025-11-30,2026-01-05,Cancelado,98874,92223.24082356167
PRY0027,Proyecto PRJ-03 - C015,C015,TP03,2025-06-18,2025-12-02,Completado,479725,336076.17273989774
PRY0028,Proyecto PRJ-05 - C002,C002,TP05,2025-12-18,2026-04-03,Planificación,141659,119492.06745371247
PRY0029,Proyecto PRJ-01 - C014,C014,TP01,2025-10-28,2026-03-19,En Progreso,478048,424672.83220353257
PRY0030,Proyecto PRJ-03 - C008,C008,TP03,2024-12-30,2025-04-08,Planificación,228589,209415.04427460275
